"ALLCOLROW","harvest_area"
"CR261215",1195.75537109375
"CR261220",50.2730522155762
"CR261221",109.99242401123
"CR261222",108.703559875488
"CR261223",115.602149963379
"CR261224",31.1122665405273
"CR261226",665.083557128906
"CR261227",355.357696533203
"CR261228",1093.87561035156
"CR261229",1274.75927734375
"CR261230",2266.98779296875
"CR261231",1043.90405273438
"CR261232",1396.88708496094
"CR261233",768.497741699219
"CR261234",190.478805541992
"CR261235",230.956802368164
"CR262194",8.29749965667725
"CR262195",28.6651916503906
"CR262196",36.5206985473633
"CR262197",38.6428413391113
"CR262198",275.934661865234
"CR262199",386.600006103516
"CR262202",16.9170875549316
"CR262203",22.1128311157227
"CR262204",206.387268066406
"CR262205",325.389007568359
"CR262206",85.5900192260742
"CR262207",71.8675689697266
"CR262208",99.5420913696289
"CR262209",929.119079589844
"CR262210",533.850769042969
"CR262211",244.19221496582
"CR262212",47.579833984375
"CR262213",166.204223632812
"CR262214",209.483459472656
"CR262215",781.244934082031
"CR262216",865.490356445312
"CR262218",1274.90454101562
"CR262220",137.313110351562
"CR262221",165.704162597656
"CR262222",57.5067710876465
"CR262223",40.9689140319824
"CR262224",92.969841003418
"CR262226",313.101806640625
"CR262229",796.66064453125
"CR262230",40.4503135681152
"CR262231",667.979125976562
"CR262232",768.4853515625
"CR262233",289.790496826172
"CR263196",41.3627738952637
"CR263197",166.444976806641
"CR263198",534.599060058594
"CR263199",256.2841796875
"CR263200",217.8359375
"CR263201",380.421722412109
"CR263202",285.711029052734
"CR263203",228.547775268555
"CR263204",76.1044998168945
"CR263205",240.992553710938
"CR263206",66.3442001342773
"CR263207",97.1832885742188
"CR263208",59.6329345703125
"CR263209",304.720123291016
"CR263210",266.871490478516
"CR263211",451.559234619141
"CR263212",196.258071899414
"CR263213",933.546203613281
"CR263214",1571.06848144531
"CR263215",876.038696289062
"CR263216",809.705505371094
"CR263217",520.233642578125
"CR263220",663.443359375
"CR263221",524.795837402344
"CR263222",212.048187255859
"CR263224",28.1139698028564
"CR263225",69.7744064331055
"CR263226",211.414489746094
"CR264190",111.991752624512
"CR264191",1012.16473388672
"CR264195",37.5999984741211
"CR264196",435.6064453125
"CR264197",331.206451416016
"CR264198",463.692474365234
"CR264199",879.783020019531
"CR264200",145.738082885742
"CR264201",172.156112670898
"CR264202",470.328796386719
"CR264203",763.0361328125
"CR264204",170.114730834961
"CR264205",77.0117874145508
"CR264206",66.7668075561523
"CR264207",68.3734436035156
"CR264209",148.896713256836
"CR264210",222.781295776367
"CR264211",622.68505859375
"CR264212",425.487762451172
"CR264213",717.776123046875
"CR264214",1616.04992675781
"CR264215",669.8017578125
"CR264216",1075.92749023438
"CR264217",259.860778808594
"CR264220",1127.21240234375
"CR264221",1592.38916015625
"CR264222",478.162994384766
"CR264223",442.861907958984
"CR264224",83.5796661376953
"CR264225",23.7031669616699
"CR265189",224.429565429688
"CR265190",43.8747444152832
"CR265191",496.164733886719
"CR265193",89.3854141235352
"CR265194",267.46044921875
"CR265195",142.608139038086
"CR265196",255.785385131836
"CR265197",258.335601806641
"CR265198",176.839324951172
"CR265199",367.380706787109
"CR265200",251.431777954102
"CR265201",742.043151855469
"CR265202",56.4961891174316
"CR265203",477.787994384766
"CR265204",207.010955810547
"CR265205",127.972671508789
"CR265206",48.527530670166
"CR265207",47.153148651123
"CR265209",267.444702148438
"CR265210",797.4150390625
"CR265211",482.888061523438
"CR265212",629.772705078125
"CR265213",1401.75512695312
"CR265214",1804.73718261719
"CR265215",1792.34228515625
"CR265216",1299.22729492188
"CR265217",863.247863769531
"CR265218",685.052062988281
"CR265220",1171.97509765625
"CR265221",662.386352539062
"CR265222",414.662811279297
"CR265223",203.348556518555
"CR265224",38.9057083129883
"CR265225",39.1384391784668
"CR266188",223.469024658203
"CR266189",173.18864440918
"CR266190",2.93048334121704
"CR266191",3.18395113945007
"CR266194",27.8033790588379
"CR266195",226.865219116211
"CR266196",196.306503295898
"CR266198",143.817657470703
"CR266199",143.44287109375
"CR266200",12.1420841217041
"CR266201",6.09999990463257
"CR266203",26.6569995880127
"CR266204",291.788208007812
"CR266205",8.29970550537109
"CR266206",125.959915161133
"CR266207",21.1000003814697
"CR266209",405.151977539062
"CR266210",313.704162597656
"CR266211",160.014938354492
"CR266212",1108.77954101562
"CR266213",1566.40930175781
"CR266214",1766.76220703125
"CR266215",1058.06677246094
"CR266216",1484.44128417969
"CR266217",763.743103027344
"CR266219",658.776000976562
"CR266220",702.901000976562
"CR266221",262.253814697266
"CR266222",93.1477203369141
"CR266223",50.6226043701172
"CR266224",161.323196411133
"CR266225",87.2897262573242
"CR267187",258.473052978516
"CR267190",3.10014581680298
"CR267194",229.806991577148
"CR267195",433.281188964844
"CR267196",556.410949707031
"CR267197",1393.74963378906
"CR267198",793.250549316406
"CR267199",521.906127929688
"CR267200",384.113037109375
"CR267201",1033.82763671875
"CR267202",770.426513671875
"CR267203",638.722961425781
"CR267204",696.968322753906
"CR267205",2.68173909187317
"CR267207",7.71086168289185
"CR267208",9.65196228027344
"CR267209",118.158020019531
"CR267210",232.635589599609
"CR267211",1081.5078125
"CR267212",1253.84594726562
"CR267213",798.288024902344
"CR267214",937.138671875
"CR267215",419.975830078125
"CR267216",622.090454101562
"CR267217",249.540252685547
"CR267218",362.399993896484
"CR267219",374.841247558594
"CR267220",298.198547363281
"CR267221",123.824577331543
"CR267222",54.2893028259277
"CR267223",81.5366134643555
"CR267224",44.9000015258789
"CR267225",99.1727142333984
"CR268192",93.9738922119141
"CR268193",76.6769561767578
"CR268194",429.067169189453
"CR268195",786.474426269531
"CR268196",1045.78234863281
"CR268197",906.624877929688
"CR268198",976.539306640625
"CR268199",199.292098999023
"CR268200",259.3115234375
"CR268201",524.079467773438
"CR268202",1362.89172363281
"CR268203",2018.51904296875
"CR268204",1920.99975585938
"CR268205",2602.96533203125
"CR268206",2765.35034179688
"CR268207",2431.06127929688
"CR268208",1061.61975097656
"CR268209",345.698486328125
"CR268210",349.776184082031
"CR268211",660.906188964844
"CR268212",886.193298339844
"CR268213",740.59375
"CR268214",705.313720703125
"CR268215",482.600891113281
"CR268216",232.98486328125
"CR268217",414.235015869141
"CR268218",188.690963745117
"CR268219",508.762329101562
"CR268220",177.562927246094
"CR268221",53.1915588378906
"CR268222",57.9683799743652
"CR268223",60.2704467773438
"CR268224",11.3000001907349
"CR269193",141.434234619141
"CR269194",782.604797363281
"CR269195",1129.7197265625
"CR269196",1302.24035644531
"CR269197",1502.64428710938
"CR269198",636.4921875
"CR269199",603.901733398438
"CR269200",350.343139648438
"CR269201",1176.20141601562
"CR269202",1120.95324707031
"CR269203",1575.91247558594
"CR269204",1939.30078125
"CR269205",1957.88061523438
"CR269206",1846.16259765625
"CR269207",1275.662109375
"CR269208",607.550048828125
"CR269209",399.379577636719
"CR269210",277.344604492188
"CR269211",1162.63525390625
"CR269212",231.360687255859
"CR269213",120.87287902832
"CR269215",32.807430267334
"CR269216",464.192687988281
"CR269217",312.245178222656
"CR269218",175.637512207031
"CR269219",178.746063232422
"CR269220",56.6668510437012
"CR269221",198.780075073242
"CR269222",50.591007232666
"CR269223",55.5203590393066
